,,,,,,Daily Price Report-01-01-2026 to 07-04-2026 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,650.00,500.00,Rs./Quintal,06-04-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,925.00,550.00,Rs./Quintal,05-04-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,900.00,500.00,Rs./Quintal,03-04-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,950.00,550.00,Rs./Quintal,01-04-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,900.00,500.00,Rs./Quintal,31-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"1,005.00",575.00,Rs./Quintal,30-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,900.00,500.00,Rs./Quintal,29-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,900.00,500.00,Rs./Quintal,27-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,050.00",500.00,Rs./Quintal,26-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"1,050.00",550.00,Rs./Quintal,23-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,925.00,500.00,Rs./Quintal,22-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"1,000.00",500.00,Rs./Quintal,20-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"1,050.00",650.00,Rs./Quintal,19-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"1,400.00",800.00,Rs./Quintal,17-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"1,500.00",875.00,Rs./Quintal,16-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,325.00,"1,500.00",900.00,Rs./Quintal,15-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,325.00,"1,555.00",900.00,Rs./Quintal,13-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,325.00,"1,625.00",850.00,Rs./Quintal,12-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,500.00",950.00,Rs./Quintal,11-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,400.00",925.00,Rs./Quintal,10-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,350.00",875.00,Rs./Quintal,09-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,375.00",875.00,Rs./Quintal,08-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,150.00",650.00,Rs./Quintal,06-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,300.00",800.00,Rs./Quintal,05-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,200.00",700.00,Rs./Quintal,04-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,250.00",750.00,Rs./Quintal,03-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,300.00",800.00,Rs./Quintal,01-03-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"1,425.00",750.00,Rs./Quintal,27-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"1,350.00",725.00,Rs./Quintal,26-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,150.00",675.00,Rs./Quintal,24-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"1,205.00",700.00,Rs./Quintal,23-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,250.00",750.00,Rs./Quintal,22-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,200.00",675.00,Rs./Quintal,20-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,250.00",700.00,Rs./Quintal,19-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,150.00",700.00,Rs./Quintal,16-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,125.00",650.00,Rs./Quintal,15-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,155.00",650.00,Rs./Quintal,13-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,055.00",625.00,Rs./Quintal,12-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,055.00",625.00,Rs./Quintal,11-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,100.00",650.00,Rs./Quintal,10-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,200.00",800.00,Rs./Quintal,09-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,100.00",700.00,Rs./Quintal,06-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,000.00",650.00,Rs./Quintal,05-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,100.00",650.00,Rs./Quintal,04-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,350.00",800.00,Rs./Quintal,03-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,100.00",675.00,Rs./Quintal,02-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,250.00",750.00,Rs./Quintal,01-02-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,700.00","1,100.00",Rs./Quintal,30-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,550.00","1,075.00",Rs./Quintal,28-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,300.00",750.00,Rs./Quintal,27-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,750.00","1,125.00",Rs./Quintal,26-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,005.00","1,250.00",Rs./Quintal,25-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,055.00","1,300.00",Rs./Quintal,23-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,950.00","1,250.00",Rs./Quintal,22-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"5,000.00","1,550.00",Rs./Quintal,21-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,250.00","1,375.00",Rs./Quintal,18-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,500.00","1,500.00",Rs./Quintal,16-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,500.00","1,375.00",Rs./Quintal,15-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,500.00","1,500.00",Rs./Quintal,13-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,125.00","1,600.00",Rs./Quintal,12-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,555.00","1,300.00",Rs./Quintal,11-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,555.00","1,300.00",Rs./Quintal,09-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,750.00","1,500.00",Rs./Quintal,08-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,855.00","1,500.00",Rs./Quintal,07-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,055.00","1,750.00",Rs./Quintal,06-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"3,750.00","2,000.00",Rs./Quintal,05-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"3,625.00","2,055.00",Rs./Quintal,04-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,250.00","1,875.00",Rs./Quintal,02-01-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,275.00,"3,250.00","1,800.00",Rs./Quintal,01-01-2026

