,,,,,,Daily Price Report-01-01-2023 to 31-12-2023 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,000.00","1,375.00",Rs./Quintal,31-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,375.00,"3,000.00","1,375.00",Rs./Quintal,30-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,375.00,"3,000.00","1,375.00",Rs./Quintal,29-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,250.00",Rs./Quintal,28-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,250.00",Rs./Quintal,27-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,250.00",Rs./Quintal,26-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,500.00","1,250.00",Rs./Quintal,25-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,000.00","1,000.00",Rs./Quintal,22-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,250.00","1,000.00",Rs./Quintal,21-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,000.00","1,000.00",Rs./Quintal,20-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,500.00",Rs./Quintal,12-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,500.00","1,375.00",Rs./Quintal,10-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,500.00",Rs./Quintal,09-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,500.00",Rs./Quintal,08-12-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,500.00","2,500.00",Rs./Quintal,27-11-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,500.00","2,000.00",Rs./Quintal,25-11-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,625.00","2,000.00",Rs./Quintal,24-11-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,750.00","2,125.00",Rs./Quintal,22-11-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,250.00","2,250.00",Rs./Quintal,20-11-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,850.00",Rs./Quintal,09-11-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,625.00","1,000.00",Rs./Quintal,02-11-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,250.00",850.00,Rs./Quintal,01-11-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,750.00","1,000.00",Rs./Quintal,31-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"2,005.00","1,125.00",Rs./Quintal,30-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,000.00",700.00,Rs./Quintal,27-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,550.00,Rs./Quintal,21-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,800.00,500.00,Rs./Quintal,20-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,500.00,350.00,Rs./Quintal,18-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,550.00,400.00,Rs./Quintal,17-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,375.00,Rs./Quintal,16-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,800.00,500.00,Rs./Quintal,15-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,450.00,Rs./Quintal,14-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,600.00,400.00,Rs./Quintal,13-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,125.00,500.00,300.00,Rs./Quintal,12-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,125.00,450.00,250.00,Rs./Quintal,10-10-2023
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,500.00,350.00,Rs./Quintal,06-10-2023
