,,,,,,Daily Price Report-01-01-2021 to 31-12-2021 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,000.00","1,500.00",Rs./Quintal,31-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,500.00","1,750.00",Rs./Quintal,29-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,500.00","1,750.00",Rs./Quintal,28-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,375.00","1,750.00",Rs./Quintal,27-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,105.00","1,500.00",Rs./Quintal,26-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,050.00","1,500.00",Rs./Quintal,25-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,500.00","1,750.00",Rs./Quintal,24-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,500.00","1,750.00",Rs./Quintal,23-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,750.00",Rs./Quintal,22-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,250.00","1,750.00",Rs./Quintal,21-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,250.00","1,750.00",Rs./Quintal,20-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,155.00","1,500.00",Rs./Quintal,19-12-2021
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,055.00","1,750.00",Rs./Quintal,17-12-2021
