,,,,,,Daily Price Report-01-01-2024 to 31-12-2024 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,350.00",800.00,Rs./Quintal,31-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,250.00",750.00,Rs./Quintal,30-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,400.00",850.00,Rs./Quintal,29-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",900.00,Rs./Quintal,28-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",900.00,Rs./Quintal,27-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,000.00","1,050.00",Rs./Quintal,26-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,250.00","1,250.00",Rs./Quintal,24-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,600.00","1,350.00",Rs./Quintal,23-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,750.00","1,375.00",Rs./Quintal,22-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,250.00","1,150.00",Rs./Quintal,21-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,050.00","1,050.00",Rs./Quintal,20-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"2,000.00","1,000.00",Rs./Quintal,19-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"2,000.00","1,400.00",Rs./Quintal,18-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,150.00","1,250.00",Rs./Quintal,17-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,850.00","1,050.00",Rs./Quintal,16-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,700.00","1,000.00",Rs./Quintal,15-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,050.00",Rs./Quintal,14-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,625.00","1,000.00",Rs./Quintal,13-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,750.00",750.00,Rs./Quintal,12-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"2,000.00","1,050.00",Rs./Quintal,10-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,050.00",Rs./Quintal,09-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00","1,550.00",Rs./Quintal,08-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,500.00","1,500.00",Rs./Quintal,07-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00","1,500.00",Rs./Quintal,06-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"3,000.00","1,750.00",Rs./Quintal,04-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,900.00",Rs./Quintal,03-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,000.00","1,500.00",Rs./Quintal,02-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,400.00",Rs./Quintal,01-12-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,350.00",Rs./Quintal,30-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,700.00","1,250.00",Rs./Quintal,29-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,375.00","1,400.00",Rs./Quintal,27-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,500.00","1,400.00",Rs./Quintal,26-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,000.00",Rs./Quintal,25-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,875.00","1,600.00",Rs./Quintal,24-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,400.00",Rs./Quintal,23-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,875.00","1,600.00",Rs./Quintal,22-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00","1,300.00",Rs./Quintal,21-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,400.00","1,250.00",Rs./Quintal,20-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00","1,350.00",Rs./Quintal,18-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,625.00","1,300.00",Rs./Quintal,17-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,500.00","1,200.00",Rs./Quintal,16-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,250.00",Rs./Quintal,15-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,800.00","1,350.00",Rs./Quintal,14-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,400.00",Rs./Quintal,13-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,625.00","1,325.00",Rs./Quintal,12-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,500.00","1,300.00",Rs./Quintal,11-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00","1,400.00",Rs./Quintal,10-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,500.00","1,300.00",Rs./Quintal,09-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,400.00","1,250.00",Rs./Quintal,06-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,500.00","1,300.00",Rs./Quintal,05-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,550.00",Rs./Quintal,04-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"1,375.00","2,855.00","1,650.00",Rs./Quintal,03-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,375.00","1,450.00",Rs./Quintal,02-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,050.00","1,100.00",Rs./Quintal,01-11-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,055.00","1,100.00",Rs./Quintal,30-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,100.00",Rs./Quintal,29-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,100.00","1,100.00",Rs./Quintal,28-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,500.00","2,250.00",Rs./Quintal,27-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,250.00","1,100.00",Rs./Quintal,26-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,550.00",950.00,Rs./Quintal,25-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"3,500.00","1,750.00",Rs./Quintal,24-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,250.00","2,000.00",Rs./Quintal,23-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,500.00","2,200.00",Rs./Quintal,22-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,000.00","2,100.00",Rs./Quintal,21-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,100.00","2,100.00",Rs./Quintal,20-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,055.00","2,000.00",Rs./Quintal,19-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,250.00","2,100.00",Rs./Quintal,18-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"3,750.00","2,050.00",Rs./Quintal,17-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,350.00","2,300.00",Rs./Quintal,16-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,500.00","2,250.00",Rs./Quintal,15-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,250.00","2,150.00",Rs./Quintal,14-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,750.00","2,250.00",Rs./Quintal,13-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,500.00","2,150.00",Rs./Quintal,12-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"6,000.00","3,000.00",Rs./Quintal,11-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"5,750.00","2,750.00",Rs./Quintal,10-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"5,250.00","2,500.00",Rs./Quintal,09-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"6,750.00","4,000.00",Rs./Quintal,06-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"7,750.00","4,400.00",Rs./Quintal,05-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"5,500.00","2,650.00",Rs./Quintal,04-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,750.00","2,250.00",Rs./Quintal,03-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,250.00","2,000.00",Rs./Quintal,02-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,555.00","2,750.00",Rs./Quintal,01-10-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,750.00","2,250.00",Rs./Quintal,30-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,750.00","2,250.00",Rs./Quintal,29-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,500.00","2,000.00",Rs./Quintal,28-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,250.00","1,850.00",Rs./Quintal,27-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,150.00","1,900.00",Rs./Quintal,26-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,000.00","1,750.00",Rs./Quintal,25-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,150.00","2,000.00",Rs./Quintal,24-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,600.00","1,550.00",Rs./Quintal,23-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,750.00","1,500.00",Rs./Quintal,22-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,000.00","1,750.00",Rs./Quintal,21-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,000.00","1,500.00",Rs./Quintal,20-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,250.00","1,700.00",Rs./Quintal,19-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,500.00","1,750.00",Rs./Quintal,18-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,500.00","1,000.00",Rs./Quintal,17-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,750.00",Rs./Quintal,16-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00","1,500.00",Rs./Quintal,15-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,250.00","1,400.00",Rs./Quintal,14-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,650.00","1,100.00",Rs./Quintal,13-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,550.00","1,100.00",Rs./Quintal,12-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,650.00","1,150.00",Rs./Quintal,11-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,150.00","1,125.00",Rs./Quintal,10-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,250.00","1,350.00",Rs./Quintal,09-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,700.00","1,000.00",Rs./Quintal,08-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,650.00",950.00,Rs./Quintal,07-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,100.00",Rs./Quintal,06-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,500.00","1,000.00",Rs./Quintal,05-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",950.00,Rs./Quintal,04-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,100.00",Rs./Quintal,03-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,500.00","1,500.00",Rs./Quintal,02-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"1,400.00",800.00,Rs./Quintal,01-09-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,650.00,"1,050.00",800.00,Rs./Quintal,31-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,100.00",700.00,Rs./Quintal,30-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,300.00",800.00,Rs./Quintal,29-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,400.00",850.00,Rs./Quintal,28-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",900.00,Rs./Quintal,27-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,100.00",Rs./Quintal,26-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,100.00","1,000.00",Rs./Quintal,25-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,250.00","1,150.00",Rs./Quintal,24-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,100.00","1,000.00",Rs./Quintal,23-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"1,900.00","1,100.00",Rs./Quintal,22-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,500.00","1,500.00",Rs./Quintal,11-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,250.00",Rs./Quintal,10-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,250.00",Rs./Quintal,09-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,100.00",Rs./Quintal,08-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00","1,500.00",Rs./Quintal,07-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,750.00",Rs./Quintal,06-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,325.00,"3,000.00","1,500.00",Rs./Quintal,05-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,250.00","2,000.00",Rs./Quintal,04-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,750.00",Rs./Quintal,03-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,500.00",Rs./Quintal,02-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,750.00",Rs./Quintal,01-08-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,750.00",Rs./Quintal,31-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"5,750.00","3,250.00",Rs./Quintal,11-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"6,000.00","3,200.00",Rs./Quintal,10-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"6,000.00","3,000.00",Rs./Quintal,09-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"6,000.00","3,250.00",Rs./Quintal,08-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"5,500.00","2,500.00",Rs./Quintal,07-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"6,000.00","2,750.00",Rs./Quintal,06-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"5,750.00","3,000.00",Rs./Quintal,05-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"5,250.00","2,000.00",Rs./Quintal,04-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,750.00,"5,750.00","2,250.00",Rs./Quintal,03-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"5,350.00","2,000.00",Rs./Quintal,02-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,500.00","1,600.00",Rs./Quintal,01-07-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,500.00",Rs./Quintal,30-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,250.00","1,250.00",Rs./Quintal,29-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,750.00","1,500.00",Rs./Quintal,15-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,750.00","1,500.00",Rs./Quintal,14-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,650.00","1,000.00",Rs./Quintal,11-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00",950.00,Rs./Quintal,10-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,000.00","1,100.00",Rs./Quintal,09-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,250.00","1,200.00",Rs./Quintal,08-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,150.00",Rs./Quintal,07-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00","1,100.00",Rs./Quintal,06-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"3,000.00","1,050.00",Rs./Quintal,05-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00",900.00,Rs./Quintal,04-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,750.00",900.00,Rs./Quintal,03-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,500.00","1,100.00",Rs./Quintal,02-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,000.00","1,000.00",Rs./Quintal,01-06-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,500.00",900.00,Rs./Quintal,31-05-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,250.00",800.00,Rs./Quintal,30-05-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",850.00,Rs./Quintal,29-05-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,400.00",950.00,Rs./Quintal,28-05-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,150.00",Rs./Quintal,27-05-2024
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,100.00",Rs./Quintal,26-05-2024
