,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"3,755.00","2,125.00",Rs./Quintal,31-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"3,755.00","2,125.00",Rs./Quintal,30-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"3,750.00","2,575.00",Rs./Quintal,29-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,325.00,"4,255.00","2,250.00",Rs./Quintal,24-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,350.00,"4,500.00","2,500.00",Rs./Quintal,23-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"3,555.00","2,150.00",Rs./Quintal,22-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,500.00","1,700.00",Rs./Quintal,21-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,350.00,"3,250.00","1,650.00",Rs./Quintal,19-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,650.00","1,950.00",Rs./Quintal,18-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,550.00","1,875.00",Rs./Quintal,17-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,675.00","2,000.00",Rs./Quintal,16-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,500.00","1,875.00",Rs./Quintal,15-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,250.00","1,750.00",Rs./Quintal,14-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,500.00","1,450.00",Rs./Quintal,13-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,750.00","1,450.00",Rs./Quintal,11-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,055.00","1,250.00",Rs./Quintal,10-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"2,150.00","1,375.00",Rs./Quintal,09-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,105.00","1,250.00",Rs./Quintal,08-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,175.00","1,400.00",Rs./Quintal,07-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,255.00","1,375.00",Rs./Quintal,05-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,500.00","1,500.00",Rs./Quintal,04-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,500.00","1,505.00",Rs./Quintal,03-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,375.00","1,375.00",Rs./Quintal,02-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,250.00","1,500.00",Rs./Quintal,01-12-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,055.00","1,375.00",Rs./Quintal,30-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,750.00","1,200.00",Rs./Quintal,28-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"2,000.00","1,250.00",Rs./Quintal,27-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,250.00","1,750.00",Rs./Quintal,26-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"3,875.00","2,500.00",Rs./Quintal,24-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"4,000.00","2,555.00",Rs./Quintal,23-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,275.00,"3,750.00","2,375.00",Rs./Quintal,21-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"3,500.00","2,250.00",Rs./Quintal,20-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,225.00,"3,500.00","2,250.00",Rs./Quintal,18-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,"2,000.00","3,250.00","2,000.00",Rs./Quintal,17-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,750.00","1,100.00",Rs./Quintal,07-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,625.00","1,050.00",Rs./Quintal,06-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,300.00,"2,000.00","1,300.00",Rs./Quintal,05-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,250.00",825.00,Rs./Quintal,03-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,"1,055.00",675.00,Rs./Quintal,02-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,"1,050.00",650.00,Rs./Quintal,01-11-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,"1,000.00",625.00,Rs./Quintal,31-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,"1,100.00",700.00,Rs./Quintal,30-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,"1,000.00",525.00,Rs./Quintal,29-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,700.00,450.00,Rs./Quintal,28-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,900.00,507.00,Rs./Quintal,27-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,900.00,500.00,Rs./Quintal,26-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,"1,000.00",525.00,Rs./Quintal,25-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,950.00,500.00,Rs./Quintal,24-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,000.00",550.00,Rs./Quintal,23-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,555.00","1,000.00",Rs./Quintal,16-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,875.00","1,125.00",Rs./Quintal,15-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,750.00","1,125.00",Rs./Quintal,14-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,605.00","1,005.00",Rs./Quintal,13-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,500.00","1,025.00",Rs./Quintal,12-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,555.00","1,000.00",Rs./Quintal,11-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,150.00,"1,055.00",550.00,Rs./Quintal,08-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,555.00","1,075.00",Rs./Quintal,07-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,500.00","1,050.00",Rs./Quintal,06-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,350.00",825.00,Rs./Quintal,03-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,750.00","1,275.00",Rs./Quintal,02-10-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,250.00",800.00,Rs./Quintal,30-09-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"1,875.00","1,100.00",Rs./Quintal,29-09-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,250.00,"2,000.00","1,250.00",Rs./Quintal,28-09-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,605.00","1,050.00",Rs./Quintal,27-09-2025
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,Local,200.00,"1,250.00",850.00,Rs./Quintal,25-09-2025
