Date,State,Price
2021-03-13,Delhi,750.3333333333334
2021-03-13,Karnataka,667.0
2021-03-14,Delhi,800.0
2021-03-14,Karnataka,600.0
2021-03-14,Maharashtra,500.0
2021-03-15,Delhi,873.3333333333334
2021-03-15,Karnataka,533.0
2021-03-16,Delhi,806.6666666666666
2021-03-16,Karnataka,600.0
2021-03-17,Delhi,860.0
2021-03-17,Karnataka,567.0
2021-03-18,Delhi,871.0
2021-03-18,Karnataka,533.0
2021-03-19,Delhi,737.6666666666666
2021-03-19,Karnataka,600.0
2021-03-20,Delhi,856.5
2021-03-20,Karnataka,533.0
2021-03-20,Maharashtra,625.0
2021-03-21,Delhi,1000.0
2021-03-21,Karnataka,600.0
2021-03-21,Maharashtra,635.0
2021-03-22,Delhi,946.3333333333334
2021-03-22,Karnataka,533.0
2021-03-23,Delhi,929.6666666666666
2021-03-23,Karnataka,533.0
2021-03-23,Maharashtra,800.0
2021-03-24,Delhi,889.0
2021-03-24,Karnataka,533.0
2021-03-25,Delhi,905.3333333333334
2021-03-25,Karnataka,567.0
2021-03-25,Maharashtra,850.0
2021-03-26,Delhi,858.0
2021-03-26,Karnataka,567.0
2021-03-27,Delhi,716.0
2021-03-27,Karnataka,567.0
2021-03-28,Karnataka,533.0
2021-03-28,Maharashtra,750.0
2021-03-29,Delhi,1200.0
2021-03-29,Karnataka,567.0
2021-03-29,Maharashtra,875.0
2021-03-30,Delhi,716.0
2021-03-30,Karnataka,567.0
2021-03-31,Delhi,1125.5
2021-03-31,Karnataka,533.0
2021-04-01,Karnataka,566.0
2021-04-01,Maharashtra,1250.0
2021-04-02,Karnataka,533.0
2021-04-03,Delhi,1750.0
2021-04-03,Karnataka,467.0
2021-04-04,Delhi,1550.0
2021-04-04,Karnataka,500.0
2021-04-05,Delhi,1363.6666666666667
2021-04-05,Karnataka,533.0
2021-04-06,Delhi,1295.5
2021-04-06,Karnataka,567.0
2021-04-07,Delhi,1207.5
2021-04-07,Karnataka,533.0
2021-04-08,Delhi,1252.0
2021-04-08,Karnataka,567.0
2021-04-09,Delhi,1131.0
2021-04-09,Karnataka,533.0
2021-04-10,Delhi,1181.0
2021-04-10,Karnataka,467.0
2021-04-10,Maharashtra,550.0
2021-04-11,Delhi,1300.0
2021-04-11,Karnataka,467.0
2021-04-11,Maharashtra,550.0
2021-04-12,Delhi,1250.3333333333333
2021-04-12,Karnataka,467.0
2021-04-12,Maharashtra,1050.0
2021-04-13,Delhi,1434.6666666666667
2021-04-13,Karnataka,467.0
2021-04-13,Maharashtra,1050.0
2021-04-14,Delhi,1352.0
2021-04-14,Karnataka,600.0
2021-04-15,Delhi,1302.0
2021-04-15,Karnataka,533.0
2021-04-16,Delhi,1068.0
2021-04-16,Karnataka,567.0
2021-04-17,Delhi,1038.6666666666667
2021-04-17,Karnataka,467.0
2021-04-17,Maharashtra,550.0
2021-04-18,Delhi,1200.0
2021-04-18,Karnataka,400.0
2021-04-18,Maharashtra,750.0
2021-04-19,Delhi,1131.0
2021-04-19,Karnataka,433.0
2021-04-20,Delhi,1187.3333333333333
2021-04-20,Karnataka,467.0
2021-04-20,Maharashtra,1125.0
2021-04-21,Delhi,1037.5
2021-04-21,Karnataka,467.0
2021-04-21,Maharashtra,1125.0
2021-04-22,Delhi,991.6666666666666
2021-04-22,Karnataka,480.0
2021-04-23,Delhi,508.0
2021-04-23,Karnataka,500.0
2021-04-24,Delhi,716.0
2021-04-24,Maharashtra,1000.0
2021-04-25,Delhi,800.0
2021-04-25,Maharashtra,1000.0
2021-04-26,Delhi,599.0
2021-04-26,Karnataka,467.0
2021-04-26,Maharashtra,1000.0
2021-04-27,Delhi,649.0
2021-04-27,Karnataka,500.0
2021-04-27,Maharashtra,1750.0
2021-04-28,Delhi,649.0
2021-04-28,Karnataka,467.0
2021-04-29,Delhi,649.0
2021-04-29,Karnataka,400.0
2021-04-30,Delhi,649.0
2021-04-30,Karnataka,400.0
2021-05-01,Delhi,500.0
2021-05-01,Karnataka,433.0
2021-05-01,Maharashtra,750.0
2021-05-02,Delhi,500.0
2021-05-02,Karnataka,500.0
2021-05-02,Maharashtra,650.0
2021-05-03,Delhi,603.5
2021-05-03,Karnataka,533.0
2021-05-04,Delhi,553.5
2021-05-04,Karnataka,433.0
2021-05-04,Maharashtra,1050.0
2021-05-05,Delhi,553.5
2021-05-05,Karnataka,467.0
2021-05-06,Delhi,553.5
2021-05-06,Karnataka,400.0
2021-05-07,Delhi,553.5
2021-05-07,Karnataka,400.0
2021-05-07,Maharashtra,750.0
2021-05-08,Delhi,550.0
2021-05-08,Karnataka,400.0
2021-05-09,Delhi,500.0
2021-05-09,Karnataka,467.0
2021-05-09,Maharashtra,750.0
2021-05-10,Delhi,566.6666666666666
2021-05-10,Karnataka,533.0
2021-05-11,Delhi,491.6666666666667
2021-05-11,Karnataka,467.0
2021-05-11,Maharashtra,850.0
2021-05-12,Delhi,444.0
2021-05-12,Karnataka,333.0
2021-05-12,Maharashtra,1250.0
2021-05-13,Delhi,436.0
2021-05-13,Karnataka,333.0
2021-05-14,Delhi,402.0
2021-05-14,Karnataka,400.0
2021-05-15,Delhi,396.0
2021-05-15,Karnataka,433.0
2021-05-16,Delhi,425.0
2021-05-16,Karnataka,500.0
2021-05-17,Delhi,414.0
2021-05-17,Karnataka,400.0
2021-05-18,Delhi,439.3333333333333
2021-05-18,Karnataka,330.0
2021-05-19,Delhi,384.0
2021-05-19,Karnataka,360.0
2021-05-20,Delhi,406.0
2021-05-20,Karnataka,400.0
2021-05-21,Delhi,402.6666666666667
2021-05-21,Karnataka,460.0
2021-05-22,Delhi,505.3333333333333
2021-05-22,Karnataka,460.0
2021-05-23,Delhi,500.0
2021-05-23,Karnataka,400.0
2021-05-24,Delhi,438.6666666666667
2021-05-24,Karnataka,400.0
2021-05-25,Delhi,479.0
2021-05-25,Karnataka,400.0
2021-05-26,Delhi,458.0
2021-05-26,Karnataka,400.0
2021-05-27,Delhi,364.6666666666667
2021-05-27,Karnataka,400.0
2021-05-28,Delhi,448.0
2021-05-28,Karnataka,430.0
2021-05-29,Delhi,572.0
2021-05-29,Karnataka,530.0
2021-05-30,Delhi,400.0
2021-05-30,Karnataka,560.0
2021-05-30,Maharashtra,750.0
2021-05-31,Delhi,422.0
2021-05-31,Karnataka,560.0
2021-06-01,Delhi,600.0
2021-06-01,Karnataka,460.0
2021-06-02,Delhi,400.0
2021-06-02,Karnataka,400.0
2021-06-03,Delhi,525.0
2021-06-03,Karnataka,330.0
2021-06-04,Delhi,388.6666666666667
2021-06-04,Karnataka,330.0
2021-06-04,Maharashtra,750.0
2021-06-05,Delhi,422.0
2021-06-05,Karnataka,330.0
2021-06-05,Maharashtra,750.0
2021-06-06,Delhi,450.0
2021-06-06,Karnataka,400.0
2021-06-06,Maharashtra,850.0
2021-06-07,Delhi,538.6666666666666
2021-06-07,Karnataka,530.0
2021-06-07,Maharashtra,750.0
2021-06-08,Delhi,524.6666666666666
2021-06-08,Karnataka,530.0
2021-06-09,Delhi,424.0
2021-06-09,Karnataka,530.0
2021-06-10,Delhi,472.0
2021-06-10,Karnataka,530.0
2021-06-11,Delhi,528.0
