,,,,,,Daily Price Report-01-01-2022 to 31-12-2022 for NCT of Delhi,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,160.00,"1,000.00",653.00,Rs./Quintal,31-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,160.00,"1,000.00",653.00,Rs./Quintal,30-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,160.00,"1,000.00",653.00,Rs./Quintal,29-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,160.00,"1,120.00",711.00,Rs./Quintal,28-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,160.00,"1,120.00",711.00,Rs./Quintal,27-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,160.00,"1,120.00",711.00,Rs./Quintal,26-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,280.00,"1,200.00",822.00,Rs./Quintal,24-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,280.00,"1,200.00",822.00,Rs./Quintal,23-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,280.00,"1,400.00",865.00,Rs./Quintal,22-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,280.00,"1,400.00",865.00,Rs./Quintal,21-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,280.00,"1,400.00",865.00,Rs./Quintal,20-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,280.00,"1,400.00",865.00,Rs./Quintal,19-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,400.00,"1,800.00","1,138.00",Rs./Quintal,17-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,400.00,"1,800.00","1,138.00",Rs./Quintal,16-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,400.00,"1,800.00","1,138.00",Rs./Quintal,15-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,400.00,"2,000.00","1,211.00",Rs./Quintal,14-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,400.00,"2,600.00","1,475.00",Rs./Quintal,13-12-2022
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,400.00,"2,600.00","1,475.00",Rs./Quintal,12-12-2022
