,,,,,,Daily Price Report-01-01-2024 to 31-12-2024 for NCT of Delhi,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"2,400.00","1,667.00",Rs./Quintal,31-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"2,600.00","1,733.00",Rs./Quintal,30-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"2,600.00","1,800.00",Rs./Quintal,28-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,000.00","2,289.00",Rs./Quintal,27-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,000.00","2,009.00",Rs./Quintal,26-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,391.00",Rs./Quintal,25-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,400.00","2,480.00",Rs./Quintal,24-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,458.00",Rs./Quintal,23-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,460.00",Rs./Quintal,21-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,460.00",Rs./Quintal,20-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,467.00",Rs./Quintal,19-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,422.00",Rs./Quintal,18-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,422.00",Rs./Quintal,17-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,422.00",Rs./Quintal,16-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,438.00",Rs./Quintal,14-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,438.00",Rs./Quintal,13-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,460.00",Rs./Quintal,12-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,200.00","2,460.00",Rs./Quintal,11-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","3,800.00","3,084.00",Rs./Quintal,10-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","3,800.00","3,084.00",Rs./Quintal,09-12-2024
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","4,000.00","3,138.00",Rs./Quintal,07-12-2024
