,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for NCT of Delhi,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,500.00","4,800.00","3,680.00",Rs./Quintal,31-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","5,200.00","3,920.00",Rs./Quintal,30-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","5,200.00","3,920.00",Rs./Quintal,29-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","5,200.00","3,920.00",Rs./Quintal,27-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","5,200.00","3,920.00",Rs./Quintal,26-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","5,200.00","3,760.00",Rs./Quintal,25-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","5,200.00","3,760.00",Rs./Quintal,24-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","5,200.00","3,760.00",Rs./Quintal,23-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","4,600.00","3,743.00",Rs./Quintal,22-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","4,600.00","3,743.00",Rs./Quintal,20-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","4,800.00","3,800.00",Rs./Quintal,19-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","4,800.00","3,800.00",Rs./Quintal,18-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","5,200.00","3,943.00",Rs./Quintal,17-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,600.00","5,000.00","3,857.00",Rs./Quintal,16-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","4,400.00","3,600.00",Rs./Quintal,15-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","4,400.00","3,514.00",Rs./Quintal,11-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,600.00","3,023.00",Rs./Quintal,10-12-2025
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","3,600.00","3,023.00",Rs./Quintal,09-12-2025
