,,,,,,Daily Price Report-01-01-2021 to 31-12-2021 for NCT of Delhi,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","4,000.00","2,056.00",Rs./Quintal,31-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","4,000.00","2,056.00",Rs./Quintal,30-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","4,000.00","2,056.00",Rs./Quintal,29-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"4,000.00","1,944.00",Rs./Quintal,28-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,600.00","1,944.00",Rs./Quintal,27-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,600.00","1,944.00",Rs./Quintal,25-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,200.00","1,844.00",Rs./Quintal,24-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,600.00","2,044.00",Rs./Quintal,23-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,200.00","1,867.00",Rs./Quintal,22-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,200.00","1,898.00",Rs./Quintal,21-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,200.00","1,898.00",Rs./Quintal,20-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,600.00","2,111.00",Rs./Quintal,18-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"3,600.00","2,111.00",Rs./Quintal,17-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"4,000.00","2,418.00",Rs./Quintal,16-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"4,000.00","2,327.00",Rs./Quintal,15-12-2021
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"4,667.00","2,533.00",Rs./Quintal,13-12-2021
